KATEGORI,NAMA INSTANSI,PROVINSI,KABUPATEN,KECAMATAN,TOTAL BELANJA,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,VISIT/CANVAS,KETERANGAN,ALAMAT,HUT
SD NEGERI,SD NEGERI MANGUNAN,DI YOGYAKARTA,BANTUL,DLINGO,1.950.000,1.950.000,0,0,0,0,0,0,0,0,0,18/01/2022,,,
SD NEGERI,SD NEGERI PAKIS,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI PELEM,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,16/10/2023,,,
SD NEGERI,SD NEGERI SEROPAN,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SURUH,DI YOGYAKARTA,BANTUL,DLINGO,7.645.000,0,0,0,4.950.000,2.695.000,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TANGKIL,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD SEMUTEN,DI YOGYAKARTA,BANTUL,DLINGO,7.375.000,0,0,0,0,0,0,7.375.000,0,0,0,,,,
SD NEGERI,SD SENDANGSARI,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 3 IMOGIRI,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BANGO,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI GIRIWUNGU,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI IMOGIRI,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KALIDADAP,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KARANGTENGAH BARU,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KEBONAGUNG,DI YOGYAKARTA,BANTUL,IMOGIRI,14.194.995,0,0,0,14.194.995,0,0,0,0,0,0,05/07/2023,,,
SD NEGERI,SD NEGERI KEDUNGMIRI,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI LANTENG BARU,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI LEMAHRUBUH,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI NAWUNGAN,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI NGASINAN,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI NGRANCAH,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI NOGOSARI,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI PUCUNG,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,08/06/2023,,,
SD NEGERI,SD NEGERI PUNDUNG,DI YOGYAKARTA,BANTUL,IMOGIRI,5.630.000,5.630.000,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SILUK,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SOMPOK,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SRIHARJO,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SRUNGGO,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI WUKIRSARI,DI YOGYAKARTA,BANTUL,IMOGIRI,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 BARONGAN,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,13/12/2021,,,
SD NEGERI,SD NEGERI 1 PATALAN,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 SUMBERAGUNG,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 2 BARONGAN,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 2 PATALAN,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 2 SUMBERAGUNG,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BAKULAN,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BENDOSARI,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI CANDEN,DI YOGYAKARTA,BANTUL,JETIS,7.100.000,0,0,0,7.100.000,0,0,0,0,0,0,13/12/2021,,,
SD NEGERI,SD NEGERI JETIS,DI YOGYAKARTA,BANTUL,JETIS,128.796.625,10.045.000,450.000,9.309.000,26.639.125,22.515.000,0,10.434.000,23.092.500,26.312.000,0,,,,
SD NEGERI,SD NEGERI KEMBANGSONGO,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,13/12/2021,,,
SD NEGERI,SD NEGERI KEPUH,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KOWANG,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI PATALAN BARU,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SAWAHAN,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SINDET,DI YOGYAKARTA,BANTUL,JETIS,0,0,0,0,0,0,0,0,0,0,0,13/12/2021,,,
SD NEGERI,SD KASONGAN,DI YOGYAKARTA,BANTUL,KASIHAN,48.150.000,3.150.000,0,0,0,0,0,0,7.500.000,37.500.000,0,19/11/2024,VISIT,,
SD NEGERI,SD NEGERI 1 KADIPIRO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI 1 PADOKAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,02/12/2021,,,
SD NEGERI,SD NEGERI 1 SRIBITAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,02/12/2021,,,
SD NEGERI,SD NEGERI 2 KADIPIRO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI 2 PADOKAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,02/12/2021,,,
SD NEGERI,SD NEGERI 3 KADIPIRO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI BANGUNJIWO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BANYURIPAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/08/2023,,,
SD NEGERI,SD NEGERI BIBIS,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BRAJAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,08/02/2023,,,
SD NEGERI,SD NEGERI DONOTIRTO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/08/2023,,,
SD NEGERI,SD NEGERI KALANGAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/08/2023,,,
SD NEGERI,SD NEGERI KALIPUCANG,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/08/2023,,,
SD NEGERI,SD NEGERI KARANGJATI,DI YOGYAKARTA,BANTUL,KASIHAN,69.620.000,0,12.555.000,0,13.900.000,5.950.000,26.060.000,7.315.000,3.840.000,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI KASIHAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,02/12/2021,,,
SD NEGERI,SD NEGERI NGEBEL,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,03/07/2023,,,
SD NEGERI,SD NEGERI NGRUKEMAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI NIRMALA,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,08/02/2023,,,
SD NEGERI,SD NEGERI REJODADI,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,03/07/2023,,,
SD NEGERI,SD NEGERI SAMBIKEREP,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/08/2023,,,
SD NEGERI,SD NEGERI SEMBUNGAN,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI TLOGO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD NEGERI WINONGO,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD SONOSEWU,DI YOGYAKARTA,BANTUL,KASIHAN,0,0,0,0,0,0,0,0,0,0,0,10/02/2022,,,
SD NEGERI,SD 2 KRETEK,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 DONOTIRTO,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 KRETEK,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 PARANGTRITIS,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 2 DONOTIRTO,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 2 PARANGTRITIS,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BUNGKUS,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI CIMPON,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KAREN,DI YOGYAKARTA,BANTUL,KRETEK,5.245.000,0,5.245.000,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SONO,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TIRTOHARGO,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TIRTOMULYO,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TIRTOSARI,DI YOGYAKARTA,BANTUL,KRETEK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 IROYUDAN,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,28/08/2023,,,
SD NEGERI,SD NEGERI BEJI,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,07/09/2023,,,
SD NEGERI,SD NEGERI GUWO,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,14/08/2023,,,
SD NEGERI,SD NEGERI GUWOSARI,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,28/08/2023,,,
SD NEGERI,SD NEGERI KADIRESA,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,07/09/2023,,,
SD NEGERI,SD NEGERI KEMBANGPUTIHAN,DI YOGYAKARTA,BANTUL,PAJANGAN,12.000.000,0,0,0,0,0,12.000.000,0,0,0,0,28/08/2023,,,
SD NEGERI,SD NEGERI KREBET,DI YOGYAKARTA,BANTUL,PAJANGAN,14.000.000,0,0,0,0,0,0,0,0,14.000.000,0,06/09/2023,,,
SD NEGERI,SD NEGERI MANGIR LOR,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,28/08/2023,,,
SD NEGERI,SD NEGERI SENDANGSARI,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,14/08/2023,,,
SD NEGERI,SD NEGERI TRIWIDADI,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,07/09/2023,,,
SD NEGERI,SD NEGERI TRUCUK,DI YOGYAKARTA,BANTUL,PAJANGAN,0,0,0,0,0,0,0,0,0,0,0,06/09/2023,,,
SD NEGERI,SD NEGERI 1 PANDAK,DI YOGYAKARTA,BANTUL,PANDAK,9.000.000,0,0,0,0,0,0,0,0,1.500.000,7.500.000,19/11/2024,VISIT,,
SD NEGERI,SD NEGERI 1 WIJIREJO,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,13/09/2023,,,
SD NEGERI,SD NEGERI 2 WIJIREJO,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,13/09/2023,,,
SD NEGERI,SD NEGERI BANTULAN,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,19/09/2023,,,
SD NEGERI,SD NEGERI BOGO,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,13/09/2023,,,
SD NEGERI,SD NEGERI BONGSREN,DI YOGYAKARTA,BANTUL,PANDAK,11.525.000,0,0,0,0,0,0,0,0,2.775.000,8.750.000,13/09/2023,,,
SD NEGERI,SD NEGERI CIREN,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI DALEMAN,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,19/09/2023,,,
SD NEGERI,SD NEGERI GLAGAHAN,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI GUMULAN,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI GUNTING,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,19/09/2023,,,
SD NEGERI,SD NEGERI GUNTURAN,DI YOGYAKARTA,BANTUL,PANDAK,0,0,0,0,0,0,0,0,0,0,0,03/09/2023,,,
